brand,OS,processor,RAM,storage,display,num_of_ratings,num_of_reviews,warranty,product_rating,price
ASUS,Windows OS,AMD Ryzen 5,8,512.0,15,2480.0,201.0,1,4.4,44990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,16,914.0,78.0,1,4.1,149990.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,15,914.0,78.0,1,4.1,138990.0
ASUS,Windows OS,AMD Ryzen 5,8,512.0,15,2480.0,201.0,1,4.4,44990.0
CHUWI,Windows OS,Intel i3,12,512.0,14,155.0,37.0,1,4.0,29990.0
DELL,Windows OS,Intel i5,8,512.0,15,34.0,4.0,1,3.8,52680.0
Acer,Windows OS,AMD Ryzen 7,16,512.0,14,530.0,61.0,1,4.3,49990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,15,914.0,78.0,1,4.1,154990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,16,914.0,78.0,1,4.1,181990.0
HP,Windows OS,Intel i3,16,512.0,15,914.0,78.0,1,4.1,37490.0
Lenovo,Windows OS,Intel i3,8,512.0,15,73.0,2.0,1,3.9,29990.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
Acer,Windows OS,Intel i5,16,512.0,15,205.0,11.0,1,3.7,44990.0
MSI,Windows OS,AMD Ryzen 7,16,512.0,14,914.0,78.0,1,4.1,51990.0
DELL,Windows OS,Intel i5,16,512.0,15,914.0,78.0,1,4.1,55990.0
Acer,Windows OS,Intel i7,16,1024.0,16,80.0,12.0,1,4.4,114990.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
HP,Windows OS,AMD Ryzen 7,16,1024.0,16,222.0,26.0,1,4.5,98500.0
HP,Windows OS,AMD Ryzen 5,16,512.0,15,3479.0,257.0,1,4.3,39890.0
Acer,Windows OS,Intel i5,16,512.0,14,2692.0,194.0,1,4.1,40990.0
